naics,name,pci,rca,alm_emp,oked,oked_name
523210,Securities and Commodity Exchanges,2.65,4.14,384,6611,Управление финансовыми рынками
336112,Light Truck and Utility Vehicle Manufacturing ,2.53,1.0,478,2910,Производство автотранспортных средств
221118,Other Electric Power Generation ,2.42,1.82,10,3512,Передача электроэнергии
334613,Blank Magnetic and Optical Recording Media Manufacturing ,2.37,34.85,1,2680,Производство магнитных и оптических средств передачи информации
485111,Mixed Mode Transit Systems ,2.37,29.85,4,4931,Городской и пригородный пассажирский наземный транспорт
522293,International Trade Financing ,2.35,1.62,15,6492,Прочие виды кредитования
486990,All Other Pipeline Transportation,2.33,2.03,1,4950,Транспортирование по трубопроводу
332913,Plumbing Fixture Fitting and Trim Manufacturing ,2.2,3.47,131,2441,Производство благородных (драгоценных) металлов
311422,Specialty Canning ,2.19,2.0,42,1085,Производство готовых пищевых продуктов
523110,Investment Banking and Securities Dealing ,2.07,1.28,1627,6499,"Другие виды финансовых услуг, за исключением услуг страховых и пенсионных фондов, не отнесенные к прочим группировкам"
334112,Computer Storage Device Manufacturing ,1.94,1.24,72,2620,Производство компьютеров и периферийного оборудования
221330,Steam and Air-Conditioning Supply ,1.91,107.7,1431,3530,Системы подачи пара и кондиционирования воздуха
315190,Other Apparel Knitting Mills ,1.89,3.33,47,1439,Производство прочих вязаных и трикотажных изделий
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum) ",1.87,3.06,126,2441,Производство благородных (драгоценных) металлов
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing ",1.86,2.53,78,1820,Воспроизведение записей с носителя
311930,Flavoring Syrup and Concentrate Manufacturing,1.84,1.59,130,1089,"Производство прочих продуктов питания, не включенных в другие категории"
512199,Other Motion Picture and Video Industries ,1.84,4.96,51,5913,"Деятельность по распространению кинофильмов, видео и телевизионных программ"
332919,Other Metal Valve and Pipe Fitting Manufacturing ,1.76,1.94,129,2410,"Производство чугуна, стали и ферросплавов"
311314,Cane Sugar Manufacturing ,1.75,10.47,491,1081,Производство сахара
339940,Office Supplies (except Paper) Manufacturing,1.74,1.56,128,2030,"Производство красок, лаков и аналогичных красящих веществ, типографской краски и мастики"
311225,Fats and Oils Refining and Blending ,1.73,20.96,692,1042,Производство маргарина и аналогичных пищевых жиров
522294,Secondary Market Financing ,1.72,1.28,319,6499,"Другие виды финансовых услуг, за исключением услуг страховых и пенсионных фондов, не отнесенные к прочим группировкам"
532112,Passenger Car Leasing ,1.71,1.29,143,7711,Аренда и сдача в аренду автомобилей и легковых автомобилей
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour ",1.71,1.54,289,1085,Производство готовых пищевых продуктов
327410,Lime Manufacturing,1.69,6.44,76,2351,"Производство цемента, включая клинкеры"
541830,Media Buying Agencies,1.66,3.25,944,7311,Деятельность рекламных агентств
561450,Credit Bureaus,1.64,3.89,1329,8291,Деятельность агентств по сбору платежей и кредитных бюро
423410,Photographic Equipment and Supplies Merchant Wholesalers ,1.64,1.23,88,4646,Оптовая торговля фармацевтическими товарами
485119,Other Urban Transit Systems ,1.62,29.85,69,4931,Городской и пригородный пассажирский наземный транспорт
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing ",1.6,2.01,351,1071,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных"
