,u,v,sim
0,"Akron, OH Metro Area, Portage County, Ohio, 10420","Dayton-Kettering-Beavercreek, OH Metro Area, Greene County, Ohio, 19430",0.4005199056816137
1,"Akron, OH Metro Area, Portage County, Ohio, 10420","Racine-Mount Pleasant, WI Metro Area, Racine County, Wisconsin, 39540",0.35470444877346674
2,"Akron, OH Metro Area, Portage County, Ohio, 10420","Buffalo-Cheektowaga, NY Metro Area, Erie County, New York, 15380",0.3611763709690293
3,"Akron, OH Metro Area, Portage County, Ohio, 10420","Cleveland, OH Metro Area, Ashtabula County, Ohio, 17410",0.37717558129004314
4,"Akron, OH Metro Area, Portage County, Ohio, 10420","Fort Wayne, IN Metro Area, Allen County, Indiana, 23060",0.37063465537957124
5,"Akron, OH Metro Area, Portage County, Ohio, 10420","Grand Rapids-Wyoming-Kentwood, MI Metro Area, Barry County, Michigan, 24340",0.36719389646856965
6,"Akron, OH Metro Area, Portage County, Ohio, 10420","Greenville-Anderson-Greer, SC Metro Area, Anderson County, South Carolina, 24860",0.35301850272713986
7,"Akron, OH Metro Area, Portage County, Ohio, 10420","Rochester, NY Metro Area, Livingston County, New York, 40380",0.3506375867190977
8,"Akron, OH Metro Area, Portage County, Ohio, 10420","Rockford, IL Metro Area, Boone County, Illinois, 40420",0.3690260824527928
9,"Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580","Syracuse, NY Metro Area, Madison County, New York, 45060",0.3562646474763365
10,"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900","Riverside-San Bernardino-Ontario, CA Metro Area, Riverside County, California, 40140",0.3479670137822678
11,"Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260","Urban Honolulu, HI Metro Area, Honolulu County, Hawaii, 46520",0.41320295435181426
12,"Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460","Boulder, CO Metro Area, Boulder County, Colorado, 14500",0.3816559918548093
13,"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540","Green Bay, WI Metro Area, Brown County, Wisconsin, 24580",0.41252892808409525
14,"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540","Lancaster, PA Metro Area, Lancaster County, Pennsylvania, 29540",0.3424139956842239
15,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Dallas-Fort Worth-Arlington, TX Metro Area, Collin County, Texas, 19100",0.4422123089186925
16,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Charlotte-Concord-Gastonia, NC-SC Metro Area, Anson County, North Carolina, 16740",0.4033297265336692
17,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Chicago-Naperville-Elgin, IL-IN Metro Area, Cook County, Illinois, 16980",0.4257547198139536
18,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Cincinnati, OH-KY-IN Metro Area, Dearborn County, Indiana, 17140",0.37195968629115195
19,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Columbus, OH Metro Area, Delaware County, Ohio, 18140",0.36341385081823396
20,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Los Angeles-Long Beach-Anaheim, CA Metro Area, Los Angeles County, California, 31080",0.39202593564705057
21,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area, Anoka County, Minnesota, 33460",0.3671540604184847
22,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, New Castle County, Delaware, 37980",0.40356229492680423
23,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Riverside-San Bernardino-Ontario, CA Metro Area, Riverside County, California, 40140",0.38095948360119103
24,"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420","Boulder, CO Metro Area, Boulder County, Colorado, 14500",0.3806786146827992
25,"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420","Dallas-Fort Worth-Arlington, TX Metro Area, Collin County, Texas, 19100",0.3644704343701646
26,"Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580","Miami-Fort Lauderdale-West Palm Beach, FL Metro Area, Broward County, Florida, 33100",0.3901060654746708
27,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Bellingham, WA Metro Area, Whatcom County, Washington, 13380",0.4197031248029039
28,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Naples-Marco Island, FL Metro Area, Collier County, Florida, 34940",0.4114230277348319
29,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Portland-South Portland, ME Metro Area, Cumberland County, Maine, 38860",0.402066996432619
30,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Salinas, CA Metro Area, Monterey County, California, 41500",0.3967489233084431
31,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Norwich-New London-Willimantic, CT Metro Area, Southeastern Connecticut Planning Region, Connecticut, 35980",0.39498121942246783
32,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Traverse City, MI Metro Area, Benzie County, Michigan, 45900",0.3601658726229077
33,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Bend, OR Metro Area, Crook County, Oregon, 13460",0.3879360656410149
34,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Bozeman, MT Metro Area, Gallatin County, Montana, 14580",0.37090014573632774
35,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Santa Maria-Santa Barbara, CA Metro Area, Santa Barbara County, California, 42200",0.3695131827639752
36,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Santa Rosa-Petaluma, CA Metro Area, Sonoma County, California, 42220",0.35269453472487683
37,"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140",0.527040331514118
38,"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Houston-Pasadena-The Woodlands, TX Metro Area, Austin County, Texas, 26420",0.3532959698237884
39,"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Lake Charles, LA Metro Area, Calcasieu Parish, Louisiana, 29340",0.4794656849096389
40,"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","New Orleans-Metairie, LA Metro Area, Jefferson Parish, Louisiana, 35380",0.4577352382603763
41,"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Tulsa, OK Metro Area, Creek County, Oklahoma, 46140",0.36314621829599336
42,"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Lake Charles, LA Metro Area, Calcasieu Parish, Louisiana, 29340",0.533551291609104
43,"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","New Orleans-Metairie, LA Metro Area, Jefferson Parish, Louisiana, 35380",0.4609443108050998
44,"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Houma-Bayou Cane-Thibodaux, LA Metro Area, Lafourche Parish, Louisiana, 26380",0.4460640970412143
45,"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Houston-Pasadena-The Woodlands, TX Metro Area, Austin County, Texas, 26420",0.37222911362327804
46,"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Midland, TX Metro Area, Martin County, Texas, 33260",0.35053292237314515
47,"Bellingham, WA Metro Area, Whatcom County, Washington, 13380","Bend, OR Metro Area, Crook County, Oregon, 13460",0.3812078713761504
48,"Bellingham, WA Metro Area, Whatcom County, Washington, 13380","Portland-South Portland, ME Metro Area, Cumberland County, Maine, 38860",0.3719142042721969
49,"Bend, OR Metro Area, Crook County, Oregon, 13460","Medford, OR Metro Area, Jackson County, Oregon, 32780",0.4050324586051054
50,"Bend, OR Metro Area, Crook County, Oregon, 13460","Bozeman, MT Metro Area, Gallatin County, Montana, 14580",0.3968143662845977
51,"Bend, OR Metro Area, Crook County, Oregon, 13460","Boise City, ID Metro Area, Ada County, Idaho, 14260",0.3531914732425396
52,"Bend, OR Metro Area, Crook County, Oregon, 13460","Naples-Marco Island, FL Metro Area, Collier County, Florida, 34940",0.3517835787651778
53,"Bend, OR Metro Area, Crook County, Oregon, 13460","Ogden, UT Metro Area, Davis County, Utah, 36260",0.35983739750116783
54,"Bend, OR Metro Area, Crook County, Oregon, 13460","Santa Rosa-Petaluma, CA Metro Area, Sonoma County, California, 42220",0.36767937406176543
55,"Bend, OR Metro Area, Crook County, Oregon, 13460","St. George, UT Metro Area, Washington County, Utah, 41100",0.39029547952741905
56,"Billings, MT Metro Area, Carbon County, Montana, 13740","Missoula, MT Metro Area, Mineral County, Montana, 33540",0.39685729497365374
57,"Billings, MT Metro Area, Carbon County, Montana, 13740","Fargo, ND-MN Metro Area, Clay County, Minnesota, 22020",0.3605035395077694
58,"Billings, MT Metro Area, Carbon County, Montana, 13740","Lake Charles, LA Metro Area, Calcasieu Parish, Louisiana, 29340",0.350675337464087
59,"Birmingham, AL Metro Area, Bibb County, Alabama, 13820","Canton-Massillon, OH Metro Area, Carroll County, Ohio, 15940",0.354407991000428
60,"Birmingham, AL Metro Area, Bibb County, Alabama, 13820","Indianapolis-Carmel-Greenwood, IN Metro Area, Boone County, Indiana, 26900",0.35167294630256135
61,"Bloomington, IL Metro Area, McLean County, Illinois, 14010","Champaign-Urbana, IL Metro Area, Champaign County, Illinois, 16580",0.3588565604699517
62,"Boise City, ID Metro Area, Ada County, Idaho, 14260","Portland-Vancouver-Hillsboro, OR-WA Metro Area, Clackamas County, Oregon, 38900",0.3664055701809246
63,"Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460","San Diego-Chula Vista-Carlsbad, CA Metro Area, San Diego County, California, 41740",0.39726759846433196
64,"Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460","San Francisco-Oakland-Fremont, CA Metro Area, Alameda County, California, 41860",0.38599714220797016
65,"Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460","San Jose-Sunnyvale-Santa Clara, CA Metro Area, San Benito County, California, 41940",0.33386104959777735
66,"Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460","Chicago-Naperville-Elgin, IL-IN Metro Area, Cook County, Illinois, 16980",0.3635937439370376
67,"Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460","Los Angeles-Long Beach-Anaheim, CA Metro Area, Los Angeles County, California, 31080",0.37524005868747506
68,"Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area, New Castle County, Delaware, 37980",0.37582301031549387
69,"Boulder, CO Metro Area, Boulder County, Colorado, 14500","Santa Cruz-Watsonville, CA Metro Area, Santa Cruz County, California, 42100",0.3679435050326838
