naics_name,pci
"Abrasive Product Manufacturing, 327910",1.5296
"Adhesive Manufacturing, 325520",0.9794
"Administrative Management and General Management Consulting Services , 541611",-0.6548
"Advertising Agencies, 541810",0.225
"Advertising Material Distribution Services, 541870",0.7667
"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures, 711410",0.1845
"Air Traffic Control, 488111",1.0856
"Air and Gas Compressor Manufacturing , 333912",0.918
"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing , 333415",0.3429
"Aircraft Engine and Engine Parts Manufacturing , 336412",0.7897
"Aircraft Manufacturing , 336411",0.7749
"All Other Amusement and Recreation Industries , 713990",-1.1826
"All Other Automotive Repair and Maintenance , 811198",-0.5896
"All Other Basic Organic Chemical Manufacturing , 325199",0.0472
"All Other Business Support Services , 561499",0.4012
"All Other Consumer Goods Rental , 532289",-0.7116
"All Other Converted Paper Product Manufacturing , 322299",0.9889
"All Other General Merchandise Stores , 452319",-1.6103
"All Other Health and Personal Care Stores , 446199",-1.1371
"All Other Home Furnishings Stores , 442299",-0.835
"All Other Information Services, 519190",0.7142
"All Other Insurance Related Activities , 524298",0.5387
"All Other Leather Good and Allied Product Manufacturing , 316998",0.3471
"All Other Legal Services , 541199",0.0542
"All Other Miscellaneous Ambulatory Health Care Services , 621999",-0.8875
"All Other Miscellaneous Chemical Product and Preparation Manufacturing , 325998",0.1642
"All Other Miscellaneous Electrical Equipment and Component Manufacturing , 335999",0.6132
"All Other Miscellaneous Fabricated Metal Product Manufacturing , 332999",-0.5824
"All Other Miscellaneous Food Manufacturing , 311999",0.5565
"All Other Miscellaneous General Purpose Machinery Manufacturing , 333999",0.1003
"All Other Miscellaneous Manufacturing , 339999",-0.4599
"All Other Miscellaneous Nonmetallic Mineral Product Manufacturing , 327999",1.0245
"All Other Miscellaneous Schools and Instruction , 611699",-0.515
"All Other Miscellaneous Store Retailers (except Tobacco Stores) , 453998",-1.4088
"All Other Miscellaneous Textile Product Mills , 314999",-0.034
"All Other Miscellaneous Waste Management Services , 562998",-0.1356
"All Other Miscellaneous Wood Product Manufacturing , 321999",-0.6664
"All Other Nondepository Credit Intermediation , 522298",-1.4819
"All Other Nonmetallic Mineral Mining , 212399",0.8175
"All Other Outpatient Care Centers , 621498",-1.4362
"All Other Personal Services , 812990",-0.8869
"All Other Petroleum and Coal Products Manufacturing , 324199",1.4247
"All Other Pipeline Transportation, 486990",2.3257
"All Other Plastics Product Manufacturing , 326199",-0.8672
"All Other Professional, Scientific, and Technical Services, 541990",-0.6892
"All Other Publishers , 511199",0.748
"All Other Rubber Product Manufacturing , 326299",0.4838
"All Other Specialty Food Stores , 445299",-0.8335
"All Other Specialty Trade Contractors, 238990",-1.4205
"All Other Support Activities for Transportation , 488999",1.0326
"All Other Support Services, 561990",-1.1314
"All Other Telecommunications , 517919",0.57
"All Other Transit and Ground Passenger Transportation , 485999",-0.0646
"All Other Transportation Equipment Manufacturing , 336999",0.675
"All Other Travel Arrangement and Reservation Services , 561599",0.0086
"All Other Traveler Accommodation , 721199",-0.9592
"Alumina Refining and Primary Aluminum Production , 331313",1.5521
"Aluminum Foundries (except Die-Casting) , 331524",0.7567
"Aluminum Sheet, Plate, and Foil Manufacturing , 331315",1.1384
"Ambulance Services , 621910",-1.2364
"Amusement Arcades, 713120",-0.3793
"Amusement and Theme Parks , 713110",0.0289
"Analytical Laboratory Instrument Manufacturing , 334516",0.602
"Animal (except Poultry) Slaughtering , 311611",-0.9522
"Anthracite Mining , 212113",-1.0761
"Apparel Accessories and Other Apparel Manufacturing , 315990",0.9163
"Appliance Repair and Maintenance , 811412",-0.5833
"Apprenticeship Training , 611513",0.1639
"Architectural Services, 541310",-0.5185
"Armored Car Services , 561613",0.5019
"Art Dealers , 453920",-0.9739
"Artificial and Synthetic Fibers and Filaments Manufacturing, 325220",0.3304
"Asphalt Paving Mixture and Block Manufacturing , 324121",-0.1638
"Asphalt Shingle and Coating Materials Manufacturing , 324122",1.0421
"Assisted Living Facilities for the Elderly , 623312",-1.3163
"Audio and Video Equipment Manufacturing, 334310",0.9582
"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use , 334512",1.0142
"Automobile Driving Schools , 611692",-0.0883
"Automobile Manufacturing , 336111",0.9545
"Automobile and Other Motor Vehicle Merchant Wholesalers , 423110",-0.8466
"Automotive Body, Paint, and Interior Repair and Maintenance , 811121",-1.5355
"Automotive Exhaust System Repair , 811112",0.2348
