id,label,color,size,value,x,y,title,cluster,eci,niche_strength,emp,emp_ln,wage
"Akron, OH Metro Area, Portage County, Ohio, 10420","Akron, OH Metro Area, Portage County, Ohio, 10420",#2ca02c,19.209496262122165,3.304087030461324,-954,-187,"Akron, OH Metro Area, Portage County, Ohio, 10420  (cluster 2, strength 3.30)",2,1.9371,33.0141,284528,12.5586,56.63
"Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580","Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580",#2ca02c,8.235442130394912,0.3562646474763365,-1514,-100,"Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580  (cluster 2, strength 0.36)",2,1.4919,31.5705,348476,12.7613,63.48
"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900",#f7b6d2,8.204551978447647,0.3479670137822678,-487,485,"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900  (cluster 6, strength 0.35)",6,2.3176,36.5375,347513,12.7586,59.32
"Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260","Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260",#dbdb8d,8.447410146319829,0.4132029543518142,668,-336,"Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260  (cluster 8, strength 0.41)",8,0.9537,28.0134,162266,11.997,72.64
"Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460","Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460",#dbdb8d,8.329968174194244,0.3816559918548093,658,611,"Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460  (cluster 8, strength 0.38)",8,1.7676,26.0641,147675,11.9028,70.27
"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540","Appleton, WI Metro Area, Calumet County, Wisconsin, 11540",#1f77b4,9.71962822329704,0.7549429237683192,-869,1042,"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540  (cluster 0, strength 0.75)",0,0.9084,23.5998,102097,11.5337,58.47
"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060",#f7b6d2,20.12635792179088,3.550372066969232,-519,594,"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060  (cluster 6, strength 3.55)",6,3.6201,50.9313,2684526,14.803,71.52
"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420","Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420",#dbdb8d,9.683167915543752,0.7451490490529638,240,201,"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420  (cluster 8, strength 0.75)",8,2.3044,38.6123,1033811,13.8488,77.95
"Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580","Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580",#c7c7c7,8.361425824375846,0.3901060654746708,184,724,"Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580  (cluster 7, strength 0.39)",7,2.4765,39.1626,1205307,14.0022,69.81
"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700",#dbdb8d,21.30186246183431,3.866133093190368,1213,162,"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700  (cluster 8, strength 3.87)",8,0.5454,24.5771,71241,11.1738,60.3
"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940",#c49c94,15.027327128089984,2.180683442803915,24,-392,"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940  (cluster 5, strength 2.18)",5,1.6016,30.9742,341793,12.742,60.64
"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140",#c49c94,16.92474158685218,2.69036206696596,75,-617,"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140  (cluster 5, strength 2.69)",5,1.0765,25.3636,126469,11.7478,59.91
"Bellingham, WA Metro Area, Whatcom County, Washington, 13380","Bellingham, WA Metro Area, Whatcom County, Washington, 13380",#dbdb8d,11.275306323673034,1.1728252004512512,1194,547,"Bellingham, WA Metro Area, Whatcom County, Washington, 13380  (cluster 8, strength 1.17)",8,0.5332,25.5278,69490,11.1489,56.08
"Bend, OR Metro Area, Crook County, Oregon, 13460","Bend, OR Metro Area, Crook County, Oregon, 13460",#dbdb8d,19.54339503224262,3.393778065004938,911,243,"Bend, OR Metro Area, Crook County, Oregon, 13460  (cluster 8, strength 3.39)",8,0.5687,24.649,83158,11.3285,57.25
"Billings, MT Metro Area, Carbon County, Montana, 13740","Billings, MT Metro Area, Carbon County, Montana, 13740",#dbdb8d,11.034111905017436,1.10803617194551,870,-516,"Billings, MT Metro Area, Carbon County, Montana, 13740  (cluster 8, strength 1.11)",8,0.3988,21.6424,75435,11.231,56.47
"Birmingham, AL Metro Area, Bibb County, Alabama, 13820","Birmingham, AL Metro Area, Bibb County, Alabama, 13820",#2ca02c,9.537726461661292,0.7060809373029894,-1218,-366,"Birmingham, AL Metro Area, Bibb County, Alabama, 13820  (cluster 2, strength 0.71)",2,1.8588,35.2347,469011,13.0584,63.4
"Bloomington, IL Metro Area, McLean County, Illinois, 14010","Bloomington, IL Metro Area, McLean County, Illinois, 14010",#ff7f0e,8.245091217009099,0.3588565604699517,2373,-1855,"Bloomington, IL Metro Area, McLean County, Illinois, 14010  (cluster 1, strength 0.36)",1,0.3493,14.7738,63719,11.0622,62.57
"Boise City, ID Metro Area, Ada County, Idaho, 14260","Boise City, ID Metro Area, Ada County, Idaho, 14260",#dbdb8d,9.588043767436709,0.7195970434234642,431,149,"Boise City, ID Metro Area, Ada County, Idaho, 14260  (cluster 8, strength 0.72)",8,1.5119,34.215,312419,12.6521,61.0
"Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460","Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460",#c7c7c7,15.217557365712135,2.231782603210086,-77,451,"Boston-Cambridge-Newton, MA-NH Metro Area, Essex County, Massachusetts, 14460  (cluster 7, strength 2.23)",7,4.1606,49.5017,2667556,14.7967,94.14
"Boulder, CO Metro Area, Boulder County, Colorado, 14500","Boulder, CO Metro Area, Boulder County, Colorado, 14500",#dbdb8d,13.78831454142874,1.847863047358565,704,240,"Boulder, CO Metro Area, Boulder County, Colorado, 14500  (cluster 8, strength 1.85)",8,2.0929,31.4385,150734,11.9233,82.92
"Bozeman, MT Metro Area, Gallatin County, Montana, 14580","Bozeman, MT Metro Area, Gallatin County, Montana, 14580",#dbdb8d,28.02311343721355,5.671578357908061,1340,19,"Bozeman, MT Metro Area, Gallatin County, Montana, 14580  (cluster 8, strength 5.67)",8,0.6528,24.5428,52362,10.8659,59.58
"Bridgeport-Stamford-Danbury, CT Metro Area, Greater Bridgeport Planning Region, Connecticut, 14860","Bridgeport-Stamford-Danbury, CT Metro Area, Greater Bridgeport Planning Region, Connecticut, 14860",#c7c7c7,8.418275184232165,0.4053767952734537,59,1062,"Bridgeport-Stamford-Danbury, CT Metro Area, Greater Bridgeport Planning Region, Connecticut, 14860  (cluster 7, strength 0.41)",7,2.635,37.0525,386442,12.8647,98.07
"Buffalo-Cheektowaga, NY Metro Area, Erie County, New York, 15380","Buffalo-Cheektowaga, NY Metro Area, Erie County, New York, 15380",#2ca02c,26.33430905533057,5.217936039614319,-704,-157,"Buffalo-Cheektowaga, NY Metro Area, Erie County, New York, 15380  (cluster 2, strength 5.22)",2,2.1757,39.6053,455918,13.0301,56.43
