msa_name_net,naics_name,emp,share
"Akron, OH Metro Area, Portage County, Ohio, 10420","General Medical and Surgical Hospitals , 622110",16060,0.0564
"Akron, OH Metro Area, Portage County, Ohio, 10420","Corporate, Subsidiary, and Regional Managing Offices , 551114",14377,0.0505
"Akron, OH Metro Area, Portage County, Ohio, 10420","Limited-Service Restaurants , 722513",13195,0.0464
"Akron, OH Metro Area, Portage County, Ohio, 10420","Full-Service Restaurants , 722511",10902,0.0383
"Akron, OH Metro Area, Portage County, Ohio, 10420","Offices of Physicians (except Mental Health Specialists) , 621111",8227,0.0289
"Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580","General Medical and Surgical Hospitals , 622110",19157,0.055
"Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580","Full-Service Restaurants , 722511",13920,0.0399
"Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580","Colleges, Universities, and Professional Schools , 611310",11504,0.033
"Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580","Supermarkets and Other Grocery (except Convenience) Stores , 445110",10161,0.0292
"Albany-Schenectady-Troy, NY Metro Area, Albany County, New York, 10580","Corporate, Subsidiary, and Regional Managing Offices , 551114",9910,0.0284
"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900","General Medical and Surgical Hospitals , 622110",27780,0.0799
"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900","Offices of Physicians (except Mental Health Specialists) , 621111",13376,0.0385
"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900","General Warehousing and Storage , 493110",12170,0.035
"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900","Full-Service Restaurants , 722511",11815,0.034
"Allentown-Bethlehem-Easton, PA-NJ Metro Area, Warren County, New Jersey, 10900","Supermarkets and Other Grocery (except Convenience) Stores , 445110",9610,0.0277
"Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260","General Medical and Surgical Hospitals , 622110",8171,0.0504
"Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260","Full-Service Restaurants , 722511",5900,0.0364
"Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260","Facilities Support Services, 561210",5198,0.032
"Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260","Warehouse Clubs and Supercenters , 452311",4918,0.0303
"Anchorage, AK Metro Area, Anchorage Municipality, Alaska, 11260","Limited-Service Restaurants , 722513",4635,0.0286
"Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460","General Medical and Surgical Hospitals , 622110",28776,0.1949
"Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460","Full-Service Restaurants , 722511",6853,0.0464
"Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460","Limited-Service Restaurants , 722513",5245,0.0355
"Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460","Offices of Physicians (except Mental Health Specialists) , 621111",4954,0.0335
"Ann Arbor, MI Metro Area, Washtenaw County, Michigan, 11460","Corporate, Subsidiary, and Regional Managing Offices , 551114",3565,0.0241
"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540","Full-Service Restaurants , 722511",4376,0.0429
"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540","Corporate, Subsidiary, and Regional Managing Offices , 551114",4116,0.0403
"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540","Limited-Service Restaurants , 722513",3193,0.0313
"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540","General Medical and Surgical Hospitals , 622110",2771,0.0271
"Appleton, WI Metro Area, Calumet County, Wisconsin, 11540","Direct Life Insurance Carriers , 524113",2554,0.025
"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Full-Service Restaurants , 722511",111102,0.0414
"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Corporate, Subsidiary, and Regional Managing Offices , 551114",106256,0.0396
"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Limited-Service Restaurants , 722513",106071,0.0395
"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","General Medical and Surgical Hospitals , 622110",86661,0.0323
"Atlanta-Sandy Springs-Roswell, GA Metro Area, Barrow County, Georgia, 12060","Offices of Physicians (except Mental Health Specialists) , 621111",62808,0.0234
"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420","Full-Service Restaurants , 722511",47560,0.046
"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420","Limited-Service Restaurants , 722513",44562,0.0431
"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420","Software Publishers, 511210",30603,0.0296
"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420","Custom Computer Programming Services , 541511",28216,0.0273
"Austin-Round Rock-San Marcos, TX Metro Area, Bastrop County, Texas, 12420","Supermarkets and Other Grocery (except Convenience) Stores , 445110",26735,0.0259
"Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580","General Medical and Surgical Hospitals , 622110",66104,0.0548
"Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580","Full-Service Restaurants , 722511",47025,0.039
"Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580","Limited-Service Restaurants , 722513",41793,0.0347
"Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580","Colleges, Universities, and Professional Schools , 611310",39427,0.0327
"Baltimore-Columbia-Towson, MD Metro Area, Anne Arundel County, Maryland, 12580","Corporate, Subsidiary, and Regional Managing Offices , 551114",37240,0.0309
"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Full-Service Restaurants , 722511",5822,0.0817
"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Supermarkets and Other Grocery (except Convenience) Stores , 445110",3965,0.0557
"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Landscaping Services, 561730",2236,0.0314
"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Limited-Service Restaurants , 722513",2041,0.0286
"Barnstable Town, MA Metro Area, Barnstable County, Massachusetts, 12700","Offices of Physicians (except Mental Health Specialists) , 621111",1671,0.0235
"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Oil and Gas Pipeline and Related Structures Construction , 237120",25616,0.0749
"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Limited-Service Restaurants , 722513",13982,0.0409
"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Full-Service Restaurants , 722511",13489,0.0395
"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","General Medical and Surgical Hospitals , 622110",9622,0.0282
"Baton Rouge, LA Metro Area, Ascension Parish, Louisiana, 12940","Offices of Physicians (except Mental Health Specialists) , 621111",7572,0.0222
"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Full-Service Restaurants , 722511",6010,0.0475
"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Limited-Service Restaurants , 722513",5714,0.0452
"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Petroleum Refineries, 324110",5334,0.0422
"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","General Medical and Surgical Hospitals , 622110",4268,0.0337
"Beaumont-Port Arthur, TX Metro Area, Hardin County, Texas, 13140","Supermarkets and Other Grocery (except Convenience) Stores , 445110",3528,0.0279
"Bellingham, WA Metro Area, Whatcom County, Washington, 13380","Full-Service Restaurants , 722511",3579,0.0515
"Bellingham, WA Metro Area, Whatcom County, Washington, 13380","Limited-Service Restaurants , 722513",2394,0.0345
"Bellingham, WA Metro Area, Whatcom County, Washington, 13380","Supermarkets and Other Grocery (except Convenience) Stores , 445110",2020,0.0291
"Bellingham, WA Metro Area, Whatcom County, Washington, 13380","Offices of Physicians (except Mental Health Specialists) , 621111",1947,0.028
"Bellingham, WA Metro Area, Whatcom County, Washington, 13380","Offices of Real Estate Agents and Brokers, 531210",1757,0.0253
"Bend, OR Metro Area, Crook County, Oregon, 13460","Full-Service Restaurants , 722511",4632,0.0557
"Bend, OR Metro Area, Crook County, Oregon, 13460","General Medical and Surgical Hospitals , 622110",3646,0.0438
"Bend, OR Metro Area, Crook County, Oregon, 13460","Limited-Service Restaurants , 722513",3563,0.0428
"Bend, OR Metro Area, Crook County, Oregon, 13460","Hotels (except Casino Hotels) and Motels , 721110",2757,0.0332
"Bend, OR Metro Area, Crook County, Oregon, 13460","Supermarkets and Other Grocery (except Convenience) Stores , 445110",2299,0.0276
"Billings, MT Metro Area, Carbon County, Montana, 13740","Offices of Physicians (except Mental Health Specialists) , 621111",4134,0.0548
"Billings, MT Metro Area, Carbon County, Montana, 13740","Full-Service Restaurants , 722511",3772,0.05
"Billings, MT Metro Area, Carbon County, Montana, 13740","General Medical and Surgical Hospitals , 622110",3733,0.0495
"Billings, MT Metro Area, Carbon County, Montana, 13740","Limited-Service Restaurants , 722513",3479,0.0461
"Billings, MT Metro Area, Carbon County, Montana, 13740","Commercial Banking , 522110",2014,0.0267
"Birmingham, AL Metro Area, Bibb County, Alabama, 13820","General Medical and Surgical Hospitals , 622110",28997,0.0618
"Birmingham, AL Metro Area, Bibb County, Alabama, 13820","Limited-Service Restaurants , 722513",22326,0.0476
"Birmingham, AL Metro Area, Bibb County, Alabama, 13820","Commercial Banking , 522110",16061,0.0342
"Birmingham, AL Metro Area, Bibb County, Alabama, 13820","Full-Service Restaurants , 722511",14979,0.0319
"Birmingham, AL Metro Area, Bibb County, Alabama, 13820","Corporate, Subsidiary, and Regional Managing Offices , 551114",13102,0.0279
"Bloomington, IL Metro Area, McLean County, Illinois, 14010","Direct Property and Casualty Insurance Carriers , 524126",16178,0.2539
