fips,name,cbsa,msa_name,pay,emp,wages,cluster,cluster_size,center,center_pay,pay_vs_center,cat
17091,Kankakee,28100,"Kankakee, IL",53006,35524,1883012125,16980,28,False,84515,0.627,red
17197,Will,16980,"Chicago-Naperville-Elgin, IL-IN",57890,230864,13364708075,16980,28,False,84515,0.685,red
1113,Russell,17980,"Columbus, GA-AL",46295,11281,522276082,12060,54,False,91878,0.504,red
6001,Alameda,41860,"San Francisco-Oakland-Fremont, CA",93516,685689,64123220351,41860,16,False,174600,0.536,red
6013,Contra Costa,41860,"San Francisco-Oakland-Fremont, CA",83187,322307,26811761759,41860,16,False,174600,0.476,red
6037,Los Angeles,31080,"Los Angeles-Long Beach-Anaheim, CA",78602,3896707,306289110206,31080,6,True,78602,1.0,center
6081,San Mateo,41860,"San Francisco-Oakland-Fremont, CA",179812,390970,70300898415,41860,16,False,174600,1.03,brown
6085,Santa Clara,41940,"San Jose-Sunnyvale-Santa Clara, CA",181273,1025254,185850705400,41860,16,False,174600,1.038,brown
8013,Boulder,14500,"Boulder, CO",94441,165116,15593760510,19740,18,False,97862,0.965,brown
9009,New Haven,35300,"New Haven, CT",69673,328380,22879219070,35620,36,False,116866,0.596,red
11001,District of Columbia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",112038,525505,58876331251,47900,52,True,112038,1.0,center
12009,Brevard,37340,"Palm Bay-Melbourne-Titusville, FL",64994,210348,13671315238,36740,12,False,64662,1.005,brown
12055,Highlands,42700,"Sebring, FL",45394,24364,1105951386,36740,12,False,64662,0.702,red
12095,Orange,36740,"Orlando-Kissimmee-Sanford, FL",64662,857018,55416194098,36740,12,True,64662,1.0,center
12127,Volusia,19660,"Deltona-Daytona Beach-Ormond Beach, FL",51246,165126,8462096097,36740,12,False,64662,0.793,red
13121,Fulton,12060,"Atlanta-Sandy Springs-Roswell, GA",97842,835566,81753530015,12060,54,True,91878,1.065,center
13149,Heard,12060,"Atlanta-Sandy Springs-Roswell, GA",64815,1480,95936641,12060,54,False,91878,0.705,red
48035,Bosque,47380,"Waco, TX",52758,2679,141348468,19100,23,False,83628,0.631,red
29189,St. Louis,41180,"St. Louis, MO-IL",75013,547914,41100632347,41180,21,False,76954,0.975,brown
24003,Anne Arundel,12580,"Baltimore-Columbia-Towson, MD",73149,228083,16684066839,12580,9,False,79122,0.925,red
34003,Bergen,35620,"New York-Newark-Jersey City, NY-NJ",79275,392497,31115189292,35620,36,False,116866,0.678,red
34007,Camden,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",64845,176138,11421783386,37980,16,False,80203,0.809,red
34013,Essex,35620,"New York-Newark-Jersey City, NY-NJ",82829,273240,22632352264,35620,36,False,116866,0.709,red
34023,Middlesex,35620,"New York-Newark-Jersey City, NY-NJ",78511,376864,29587960898,35620,36,False,116866,0.672,red
34041,Warren,10900,"Allentown-Bethlehem-Easton, PA-NJ",61732,27899,1722259720,35620,36,False,116866,0.528,red
36047,Kings,35620,"New York-Newark-Jersey City, NY-NJ",54028,751724,40614050182,35620,36,True,116866,0.462,center
36081,Queens,35620,"New York-Newark-Jersey City, NY-NJ",61246,617681,37830696598,35620,36,True,116866,0.524,center
37007,Anson,16740,"Charlotte-Concord-Gastonia, NC-SC",42735,4938,211014812,16740,33,False,85620,0.499,red
37027,Caldwell,25860,"Hickory-Lenoir-Morganton, NC",49168,21592,1061627370,16740,33,False,85620,0.574,red
37059,Davie,49180,"Winston-Salem, NC",50140,11890,596149021,16740,33,False,85620,0.586,red
48167,Galveston,26420,"Houston-Pasadena-The Woodlands, TX",56586,89308,5053549521,26420,19,False,86124,0.657,red
48199,Hardin,13140,"Beaumont-Port Arthur, TX",51629,9627,497026942,26420,19,False,86124,0.599,red
48213,Henderson,11980,"Athens, TX",44996,15643,703875608,19100,23,False,83628,0.538,red
48245,Jefferson,13140,"Beaumont-Port Arthur, TX",67305,102401,6892112086,26420,19,False,86124,0.781,red
48361,Orange,13140,"Beaumont-Port Arthur, TX",64112,19416,1244787080,26420,19,False,86124,0.744,red
48471,Walker,26660,"Huntsville, TX",44053,12714,560107726,26420,19,False,86124,0.512,red
48477,Washington,14780,"Brenham, TX",49315,13057,643908279,26420,19,False,86124,0.573,red
42029,Chester,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",86629,228282,19775779079,37980,16,False,80203,1.08,green
42091,Montgomery,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",85767,468773,40205485938,37980,16,False,80203,1.069,green
45063,Lexington,17900,"Columbia, SC",51819,110160,5708439163,16740,33,False,85620,0.605,red
45091,York,16740,"Charlotte-Concord-Gastonia, NC-SC",58957,90741,5349835200,16740,33,False,85620,0.689,red
25001,Barnstable,12700,"Barnstable Town, MA",60205,81694,4918362189,14460,21,False,127028,0.474,red
25025,Suffolk,14460,"Boston-Cambridge-Newton, MA-NH",127028,633927,80526637973,14460,21,True,127028,1.0,center
26115,Monroe,33780,"Monroe, MI",59962,35432,2124559127,19820,14,False,74128,0.809,red
13289,Twiggs,31420,"Macon-Bibb County, GA",41733,1452,60614105,12060,54,False,91878,0.454,red
17027,Clinton,41180,"St. Louis, MO-IL",46097,9575,441397693,41180,21,False,76954,0.599,red
17031,Cook,16980,"Chicago-Naperville-Elgin, IL-IN",84515,2269519,191809141245,16980,28,True,84515,1.0,center
51053,Dinwiddie,40060,"Richmond, VA",72386,7247,524559175,47900,52,False,112038,0.646,red
51069,Frederick,49020,"Winchester, VA-WV",57958,33065,1916379100,47900,52,False,112038,0.517,red
51085,Hanover,40060,"Richmond, VA",54212,53298,2889412860,47900,52,False,112038,0.484,red
51137,Orange,29470,"Lake of the Woods, VA",47911,7416,355308107,47900,52,False,112038,0.428,red
51145,Powhatan,40060,"Richmond, VA",51471,6296,324081231,47900,52,False,112038,0.459,red
51149,Prince George,40060,"Richmond, VA",51854,8503,440937063,47900,52,False,112038,0.463,red
51177,Spotsylvania,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",50716,30728,1558425764,47900,52,False,112038,0.453,red
53007,Chelan,48300,"Wenatchee-East Wenatchee, WA",50655,38337,1941930369,42660,13,False,124238,0.408,red
53037,Kittitas,21260,"Ellensburg, WA",44599,12219,544975907,42660,13,False,124238,0.359,red
24033,Prince George's,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",62579,223535,13988670063,47900,52,False,112038,0.559,red
24043,Washington,25180,"Hagerstown-Martinsburg, MD-WV",53452,54247,2899619705,47900,52,False,112038,0.477,red
25017,Middlesex,14460,"Boston-Cambridge-Newton, MA-NH",109730,840394,92216369439,14460,21,False,127028,0.864,red
26099,Macomb,19820,"Detroit-Warren-Dearborn, MI",68320,305468,20869663753,19820,14,False,74128,0.922,red
26147,St. Clair,19820,"Detroit-Warren-Dearborn, MI",53170,35702,1898266717,19820,14,False,74128,0.717,red
26163,Wayne,19820,"Detroit-Warren-Dearborn, MI",74128,638129,47303347560,19820,14,True,74128,1.0,center
27053,Hennepin,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",88260,825553,72863226819,33460,27,True,88260,1.0,center
27139,Scott,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",58869,51218,3015166222,33460,27,False,88260,0.667,red
27163,Washington,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",58204,83072,4835127326,33460,27,False,88260,0.659,red
17129,Menard,44100,"Springfield, IL",41929,1139,47743254,41180,21,False,76954,0.545,red
13077,Coweta,12060,"Atlanta-Sandy Springs-Roswell, GA",50493,42883,2165275659,12060,54,False,91878,0.55,red
13139,Hall,23580,"Gainesville, GA",62303,89265,5561460188,12060,54,False,91878,0.678,red
13143,Haralson,12060,"Atlanta-Sandy Springs-Roswell, GA",51274,5934,304238419,12060,54,False,91878,0.558,red
13157,Jackson,27600,"Jefferson, GA",47972,43822,2102255342,12060,54,False,91878,0.522,red
13171,Lamar,12060,"Atlanta-Sandy Springs-Roswell, GA",49870,3395,169326733,12060,54,False,91878,0.543,red
13195,Madison,12020,"Athens-Clarke County, GA",44373,2663,118172657,12060,54,False,91878,0.483,red
13217,Newton,12060,"Atlanta-Sandy Springs-Roswell, GA",51775,20885,1081336125,12060,54,False,91878,0.564,red
23023,Sagadahoc,38860,"Portland-South Portland, ME",59749,14656,875649497,14460,21,False,127028,0.47,red
