,msa_name_net,naics_name,m_cp
859,"Akron, OH Metro Area, Portage County, Ohio, 10420","New Multifamily Housing Construction (except For-Sale Builders) , 236116",0
865,"Akron, OH Metro Area, Portage County, Ohio, 10420","Oil and Gas Pipeline and Related Structures Construction , 237120",0
892,"Akron, OH Metro Area, Portage County, Ohio, 10420","Soft Drink Manufacturing , 312111",1
899,"Akron, OH Metro Area, Portage County, Ohio, 10420","Corrugated and Solid Fiber Box Manufacturing , 322211",1
902,"Akron, OH Metro Area, Portage County, Ohio, 10420","Asphalt Paving Mixture and Block Manufacturing , 324121",0
903,"Akron, OH Metro Area, Portage County, Ohio, 10420","All Other Basic Organic Chemical Manufacturing , 325199",1
904,"Akron, OH Metro Area, Portage County, Ohio, 10420","Plastics Material and Resin Manufacturing , 325211",1
905,"Akron, OH Metro Area, Portage County, Ohio, 10420","Synthetic Rubber Manufacturing , 325212",1
906,"Akron, OH Metro Area, Portage County, Ohio, 10420","Paint and Coating Manufacturing, 325510",0
907,"Akron, OH Metro Area, Portage County, Ohio, 10420","Adhesive Manufacturing, 325520",1
909,"Akron, OH Metro Area, Portage County, Ohio, 10420","Polish and Other Sanitation Good Manufacturing , 325612",1
911,"Akron, OH Metro Area, Portage County, Ohio, 10420","Custom Compounding of Purchased Resins , 325991",1
912,"Akron, OH Metro Area, Portage County, Ohio, 10420","All Other Miscellaneous Chemical Product and Preparation Manufacturing , 325998",1
913,"Akron, OH Metro Area, Portage County, Ohio, 10420","Unlaminated Plastics Profile Shape Manufacturing , 326121",1
925,"Akron, OH Metro Area, Portage County, Ohio, 10420","Iron and Steel Forging , 332111",1
934,"Akron, OH Metro Area, Portage County, Ohio, 10420","Bolt, Nut, Screw, Rivet, and Washer Manufacturing , 332722",1
941,"Akron, OH Metro Area, Portage County, Ohio, 10420","Construction Machinery Manufacturing, 333120",1
942,"Akron, OH Metro Area, Portage County, Ohio, 10420","Other Industrial Machinery Manufacturing , 333249",1
944,"Akron, OH Metro Area, Portage County, Ohio, 10420","Special Die and Tool, Die Set, Jig, and Fixture Manufacturing , 333514",1
946,"Akron, OH Metro Area, Portage County, Ohio, 10420","Machine Tool Manufacturing , 333517",1
947,"Akron, OH Metro Area, Portage County, Ohio, 10420","Packaging Machinery Manufacturing , 333993",1
948,"Akron, OH Metro Area, Portage County, Ohio, 10420","All Other Miscellaneous General Purpose Machinery Manufacturing , 333999",0
949,"Akron, OH Metro Area, Portage County, Ohio, 10420","Other Electronic Component Manufacturing , 334419",1
950,"Akron, OH Metro Area, Portage County, Ohio, 10420","Electromedical and Electrotherapeutic Apparatus Manufacturing , 334510",1
