,u,v,sim
0,"Abrasive Product Manufacturing, 327910","Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding , 331491",0.6363636363636364
1,"Abrasive Product Manufacturing, 327910","Synthetic Dye and Pigment Manufacturing, 325130",0.5263157894736842
2,"Abrasive Product Manufacturing, 327910","Nuclear Electric Power Generation , 221113",0.5
3,"Abrasive Product Manufacturing, 327910","Copper Rolling, Drawing, Extruding, and Alloying, 331420",0.36363636363636365
4,"Adhesive Manufacturing, 325520","Plastics Packaging Film and Sheet (including Laminated) Manufacturing , 326112",0.6
5,"Adhesive Manufacturing, 325520","Switchgear and Switchboard Apparatus Manufacturing , 335313",0.5106382978723404
6,"Adhesive Manufacturing, 325520","Corrugated and Solid Fiber Box Manufacturing , 322211",0.5
7,"Adhesive Manufacturing, 325520","Custom Compounding of Purchased Resins , 325991",0.5357142857142857
8,"Adhesive Manufacturing, 325520","Home Furnishing Merchant Wholesalers , 423220",0.53125
9,"Adhesive Manufacturing, 325520","Other Lighting Equipment Manufacturing , 335129",0.5217391304347826
10,"Adhesive Manufacturing, 325520","Sports Teams and Clubs , 711211",0.5333333333333333
11,"Administrative Management and General Management Consulting Services , 541611","Other Management Consulting Services , 541618",0.5306122448979592
12,"Administrative Management and General Management Consulting Services , 541611","Other Computer Related Services, 541519",0.5098039215686274
13,"Administrative Management and General Management Consulting Services , 541611","Other Nonscheduled Air Transportation , 481219",0.46808510638297873
14,"Administrative Management and General Management Consulting Services , 541611","Computer Facilities Management Services , 541513",0.44
15,"Administrative Management and General Management Consulting Services , 541611","Voluntary Health Organizations , 813212",0.4
16,"Advertising Agencies, 541810","Other Financial Vehicles , 525990",0.55
17,"Advertising Agencies, 541810","All Other Legal Services , 541199",0.5454545454545454
18,"Advertising Agencies, 541810","Marketing Research and Public Opinion Polling, 541910",0.5306122448979592
19,"Advertising Agencies, 541810","All Other Publishers , 511199",0.5185185185185185
20,"Advertising Agencies, 541810","Marketing Consulting Services , 541613",0.5
21,"Advertising Agencies, 541810","Media Buying Agencies, 541830",0.5142857142857142
22,"Advertising Material Distribution Services, 541870","Semiconductor Machinery Manufacturing , 333242",0.5833333333333334
23,"Advertising Material Distribution Services, 541870","Media Buying Agencies, 541830",0.5185185185185185
24,"Advertising Material Distribution Services, 541870","Motion Picture and Video Production , 512110",0.4
25,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures, 711410","Record Production and Distribution, 512250",0.5714285714285714
26,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures, 711410","Cable and Other Subscription Programming, 515210",0.5555555555555556
27,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures, 711410","Radio Networks , 515111",0.4166666666666667
28,"Air Traffic Control, 488111","Other Electric Power Generation , 221118",0.42857142857142855
29,"Air and Gas Compressor Manufacturing , 333912","Fluid Power Pump and Motor Manufacturing , 333996",0.56
30,"Air and Gas Compressor Manufacturing , 333912","Fluid Power Valve and Hose Fitting Manufacturing , 332912",0.5333333333333333
31,"Air and Gas Compressor Manufacturing , 333912","Heating Equipment (except Warm Air Furnaces) Manufacturing , 333414",0.5294117647058824
32,"Air and Gas Compressor Manufacturing , 333912","Office Machinery and Equipment Rental and Leasing, 532420",0.5
33,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing , 333415","Measuring, Dispensing, and Other Pumping Equipment Manufacturing , 333914",0.46153846153846156
34,"Aircraft Engine and Engine Parts Manufacturing , 336412","Fluid Power Valve and Hose Fitting Manufacturing , 332912",0.5161290322580645
35,"Aircraft Manufacturing , 336411","Other Aircraft Parts and Auxiliary Equipment Manufacturing , 336413",0.5294117647058824
36,"Aircraft Manufacturing , 336411","Computer Terminal and Other Computer Peripheral Equipment Manufacturing , 334118",0.48
37,"All Other Basic Organic Chemical Manufacturing , 325199","Industrial Gas Manufacturing, 325120",0.48
38,"All Other Information Services, 519190","Scheduled Passenger Air Transportation , 481111",0.55
39,"All Other Information Services, 519190","Human Resources Consulting Services , 541612",0.5106382978723404
40,"All Other Information Services, 519190","Credit Card Issuing , 522210",0.42857142857142855
41,"All Other Insurance Related Activities , 524298","Human Resources Consulting Services , 541612",0.5263157894736842
42,"All Other Miscellaneous Chemical Product and Preparation Manufacturing , 325998","Sports Teams and Clubs , 711211",0.5294117647058824
43,"All Other Miscellaneous Chemical Product and Preparation Manufacturing , 325998","Corrugated and Solid Fiber Box Manufacturing , 322211",0.5
44,"All Other Miscellaneous Chemical Product and Preparation Manufacturing , 325998","Custom Compounding of Purchased Resins , 325991",0.5
45,"All Other Miscellaneous Chemical Product and Preparation Manufacturing , 325998","Measuring, Dispensing, and Other Pumping Equipment Manufacturing , 333914",0.5079365079365079
46,"All Other Miscellaneous Chemical Product and Preparation Manufacturing , 325998","Plastics Material and Resin Manufacturing , 325211",0.5194805194805194
47,"All Other Miscellaneous Electrical Equipment and Component Manufacturing , 335999","Other Measuring and Controlling Device Manufacturing , 334519",0.463768115942029
48,"All Other Miscellaneous General Purpose Machinery Manufacturing , 333999","Other Industrial Machinery Manufacturing , 333249",0.6363636363636364
49,"All Other Miscellaneous General Purpose Machinery Manufacturing , 333999","Corrugated and Solid Fiber Box Manufacturing , 322211",0.5054945054945055
50,"All Other Miscellaneous General Purpose Machinery Manufacturing , 333999","Plastics Materials and Basic Forms and Shapes Merchant Wholesalers , 424610",0.5128205128205128
51,"All Other Miscellaneous Waste Management Services , 562998","Other Commercial Equipment Merchant Wholesalers , 423440",0.43010752688172044
52,"All Other Nonmetallic Mineral Mining , 212399","Automobile Manufacturing , 336111",0.4
53,"All Other Nonmetallic Mineral Mining , 212399","Geothermal Electric Power Generation , 221116",0.3333333333333333
54,"All Other Petroleum and Coal Products Manufacturing , 324199","Petrochemical Manufacturing, 325110",0.5714285714285714
55,"All Other Petroleum and Coal Products Manufacturing , 324199","All Other Pipeline Transportation, 486990",0.5
