fips,county,cbsa,msa_name,cluster_core,county_cat,is_center,naics,industry,estabs,emp,wages,avg_pay,weekly_wage,lq_emp,lq_pay,disclosure_code
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111110,NAICS 111110 Soybean farming,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111140,NAICS 111140 Wheat farming,3,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111150,NAICS 111150 Corn farming,3,35,1360255,38680,744,0.13,0.76,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111191,NAICS 111191 Oilseed and grain combination farming,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111199,NAICS 111199 All other grain farming,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111219,NAICS 111219 Other vegetable (except potato) and melon farming,12,556,33839030,60871,1171,0.58,1.38,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111310,NAICS 111310 Orange groves,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111320,NAICS 111320 Citrus (except orange) groves,3,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111334,NAICS 111334 Berry (except strawberry) farming,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111335,NAICS 111335 Tree nut farming,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111336,NAICS 111336 Fruit and tree nut combination farming,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111339,NAICS 111339 Other noncitrus fruit farming,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111411,NAICS 111411 Mushroom production,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111419,NAICS 111419 Other food crops grown under cover,22,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111421,NAICS 111421 Nursery and tree production,28,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111422,NAICS 111422 Floriculture production,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111920,NAICS 111920 Cotton farming,26,218,11279887,51743,995,1.53,1.17,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111940,NAICS 111940 Hay farming,33,311,16630558,53403,1027,2.31,1.15,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,111998,NAICS 111998 All other miscellaneous crop farming,21,209,10517876,50245,966,0.35,1.15,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112111,NAICS 112111 Beef cattle ranching and farming,22,77,3112686,40512,779,0.13,0.95,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112112,NAICS 112112 Cattle feedlots,6,29,1380967,47347,911,0.13,0.89,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112120,NAICS 112120 Dairy cattle and milk production,31,1082,51086610,47208,908,0.7,1.05,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112210,NAICS 112210 Hog and pig farming,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112310,NAICS 112310 Chicken egg production,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112340,NAICS 112340 Poultry hatcheries,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112410,NAICS 112410 Sheep farming,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112511,NAICS 112511 Finfish farming and fish hatcheries,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112512,NAICS 112512 Shellfish farming,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112519,NAICS 112519 Other aquaculture,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112910,NAICS 112910 Apiculture,7,9,2371165,276252,5313,0.16,5.95,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112920,NAICS 112920 Horses and other equine production,21,55,2792862,50934,979,0.61,1.15,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,112990,NAICS 112990 All other animal production,18,34,1053790,31223,600,0.2,0.56,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,113110,NAICS 113110 Timber tract operations,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,113310,NAICS 113310 Logging,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,114111,NAICS 114111 Finfish fishing,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,114119,NAICS 114119 Other marine fishing,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,115111,NAICS 115111 Cotton ginning,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,115112,"NAICS 115112 Soil preparation, planting, and cultivating",14,104,8561450,82190,1581,0.26,1.55,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,115113,"NAICS 115113 Crop harvesting, primarily by machine",15,117,5650311,48397,931,0.73,1.07,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,115114,NAICS 115114 Postharvest crop activities (except cotton ginning),8,126,7592168,60335,1160,0.1,1.19,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,115115,NAICS 115115 Farm labor contractors and crew leaders,19,524,22997315,43853,843,0.2,1.35,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,115116,NAICS 115116 Farm management services,14,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,115210,NAICS 115210 Support activities for animal production,61,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,115310,NAICS 115310 Support activities for forestry,11,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,211120,NAICS 211120 Crude petroleum extraction,5,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,211130,NAICS 211130 Natural gas extraction,4,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212114,NAICS 212114 Surface coal mining,1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212220,NAICS 212220 Gold ore and silver ore mining,7,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212230,"NAICS 212230 Copper, nickel, lead, and zinc mining",3,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212290,NAICS 212290 Other metal ore mining,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212311,NAICS 212311 Dimension stone mining and quarrying,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212313,NAICS 212313 Crushed and broken granite mining and quarrying,3,185,14153889,76439,1470,2.12,0.97,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212319,NAICS 212319 Other crushed and broken stone mining and quarrying,4,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212321,NAICS 212321 Construction sand and gravel mining,12,85,7543581,88922,1710,0.19,1.13,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212323,"NAICS 212323 Kaolin, clay, and ceramic and refractory minerals mining",1,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,212390,NAICS 212390 Other nonmetallic mineral mining and quarrying,4,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213111,NAICS 213111 Drilling oil and gas wells,7,23,1934604,85350,1641,0.03,0.75,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213112,NAICS 213112 Support activities for oil and gas operations,17,30,3699706,122304,2352,0.01,1.17,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213113,NAICS 213113 Support activities for coal mining,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213114,NAICS 213114 Support activities for metal mining,7,126,13787692,109209,2100,1.73,0.97,
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,213115,NAICS 213115 Support activities for nonmetallic minerals (except fuels) mining,2,0,0,0,0,0.0,0.0,N
04013,"Maricopa County, Arizona",38060,"Phoenix-Mesa-Chandler, AZ",38060,center,True,221111,NAICS 221111 Hydroelectric power generation,1,0,0,0,0,0.0,0.0,N
